"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT05","WT07","WT08","WT10","WT11"
"USR0001CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-06",,,,,,,,"54","67","45",,,,,,,,,,,,,,,
"USR0001CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-07",,,,,,,,"56","71","44",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-08",,,,,,,,"56","72","42",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-09",,,,,,,,"54","60","50",,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-10-02",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1CALA0136","PASADENA 2.0 SE, CA US","2019-10-03",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-10-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2022-10-11",,,,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2022-10-12",,,,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2022-12-31",,,,,"0.33",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-01",,,,,"1.28",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-02",,,,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-03",,,,,"0.13",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-04",,,,,"0.54",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-05",,,,,"1.90",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-06",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-07",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-08",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-09",,,,,"0.55",,,,,,,,,,,,,,,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2023-01-10",,,,,"4.92",,,,,,,,,,,,,,,,,,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2023-02-24","12.30",,,,"2.32",,,,"55","44",,"  150","  150",,,"25.9","42.1","    1",,,,,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2023-02-25","5.82",,,,"1.00",,,,"50","43",,"  130","  260",,,"13.0","17.0","    1",,"    1",,,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2023-02-26","4.25",,,,"0.26",,,,"54","40",,"  220","  250",,,"14.1","17.0","    1",,,,,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2023-02-27","3.80",,,,"0.35",,,,"54","45",,"  110","  140",,,"13.0","17.0","    1",,,,,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2023-02-28","7.16",,,,"0.92",,,,"56","43",,"  220","  220",,,"17.0","21.9","    1",,,,,,,
"USW00093197","SANTA MONICA MUNICIPAL AIRPORT, CA US","2023-03-01","10.07",,,,"0.23",,,,"56","47",,"  270","  260",,,"21.0","35.1","    1",,,,,,,
"US1CALA0036","PASADENA 2.0 SE, CA US","2019-10-09",,,,,"0.00","0.0",,,,,,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-10",,,,,,,,"62","74","51",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-11",,,,,,,,"60","74","48",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-12",,,,,,,,"57","69","48",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-13",,,,,,,,"57","73","47",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-14",,,,,,,,"57","72","45",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-15",,,,,,,,"58","72","45",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-16",,,,,,,,"58","74","46",,,,,,,,,,,,,,,
"USR0000CSFD","SANTA FE DAM CALIFORNIA, CA US","2020-02-17",,,,,,,,"58","74","47",,,,,,,,,,,,,,,